id_resep,url
1,https://youtu.be/V8xOJVq43As?si=ing_kUy9zGtZdgA2
2,https://youtu.be/WaJPfxYTu-Y?si=FnIhCwkBelrfnJXa
3,https://youtu.be/j9a9EB0pGTo?si=8_94i3R7n9tMPgfu
4,https://youtu.be/UUciUFUXpaI?si=mcceWvCPFa7afsq_
5,https://youtu.be/Ax3QHgR1aa8?si=BtA7-vqiThwtowlw
6,https://youtu.be/EGuPCRWlLZ0?si=9-GePDJkm8YFvDnc
7,https://youtu.be/sUQwLmK34AA?si=T9-T8PKYhX6aNTvX
8,https://youtu.be/X3FzA3wC29g?si=p5k04makbIz14Pb5
9,https://youtu.be/0zAEKo3V0YY?si=hDBTcWUzM3TNFRcd
10,https://youtu.be/IX7h9I81hmU?si=7V6apeoFX0jaOTs8
11,https://youtu.be/qRZLbKxZX6M?si=sSEHcXKi7DUH4LGS
12,https://youtu.be/pJ-PMDJ0x38?si=NDP1j7zUZMpmaEwg
13,https://youtu.be/AMegomagooQ?si=tzJ7A9lvdbSsX0R9
14,https://youtu.be/fEpt5JX7nQc?si=QX-alIvQAbvd0I_J
15,https://youtu.be/EWP3DgmmsQo?si=zX-LTKfNBRsl6pSI
16,https://youtu.be/r-xJOLBhaao?si=SnxmVycI0StW2uvE
17,https://youtu.be/XeagIcUepgI?si=OsRKvjlABpMAIYCU
18,https://youtu.be/G6oF0NHli4o?si=wvtTLCfkICxEUiCI
19,https://youtu.be/JeVO80ZA9mE?si=8VImRQjouytqQdOV
20,https://youtu.be/8g3-9nKhKdc?si=UlRjAagUldoqTLkS
21,https://youtu.be/-dWOmjAVZJU?si=AqEVsYmnCRTgG6h1
22,https://youtu.be/Y-mOK--T1wc?si=V1DlVNLBXViU37j8
23,https://youtu.be/2f-VPej0yeI?si=mgJw21FgFvEC-Buo
24,https://youtu.be/T_4gQryxVzI?si=T5vRN4As9jL0dotT
25,https://youtu.be/DXkQpQM2fAk?si=3EzqgMA4OmpVSqjT
26,https://youtu.be/EFt1iOOKliI?si=XHxR2Md1i7SAjS9F
27,https://youtu.be/hi8Dyuj84LQ?si=tsc-G424-VjhpOay
28,https://youtu.be/6hlNjngay2k?si=16MQ3yHGeXMVs5mV
29,https://youtu.be/9QOy0f7s5ik?si=R3x2X2ozQaa2j9m3
30,https://youtu.be/peRYPBqYPCo?si=mWeEA_hqeE0vVDyP
31,https://youtu.be/4vzbUGB1Oc4?si=NxS16alkKgN7Evz-
32,https://youtu.be/1B53CeK9uAI?si=K2SB6HXW-qlAqrMS
33,https://youtu.be/dQeLqYe8Ni8?si=mbwx2X7LpNwb_HWV
34,https://youtu.be/YaOQItz_SDo?si=1f4atPnQCTFNG6qK
35,https://youtu.be/W5GfV3utIpw?si=E_JRyOvZLac0pWd6
36,https://youtu.be/mGRH_3qPhww?si=Ocn_eMYDt4rcWmA2
37,https://youtu.be/4jvZMplE1Mo?si=-YojolrHqwPRsDh1
38,https://youtu.be/Js9FXCkn798?si=v5-16YAiUPP8-Lil
39,https://youtu.be/L-xF0tixp3o?si=NET93r_vAZYBM482
40,https://youtu.be/j7DlVXHPsKQ?si=vqt5MVraxEFKQp5x
41,https://youtu.be/nk79CF9ws6s?si=ZlqtNpSTqcGcIica
42,https://youtu.be/hpQNpf3vkIY?si=ZjWzE4YKW7BQEtyP
43,https://youtu.be/cm0TabFPPhU?si=Qri7Nxed_ZrqBokM
44,https://youtu.be/QXUCpZ4yviE?si=K3jyyBTRnqpKZoFX
45,https://youtu.be/SLzgzfc9prI?si=SrGqhluVBseFAm-U
46,https://youtu.be/-ir-fOqyBdg?si=fpOamitU2t2vxYM3
47,https://youtu.be/JT2LAY0B6SI?si=VOjZZR6VzfzBW_po
48,https://youtu.be/VThpAQoCjzc?si=UdLp1zrk6LZgIEYH
49,https://youtu.be/t6MinKW8-cY?si=S7eY-LGCqinDGkml
50,https://youtu.be/0EFYjyDDoxY?si=Qd4YylQTZXTTsxXa
51,https://youtu.be/g5LwHQ5e-5c?si=Uo7fIRjz2tD1v1Y-
52,https://youtu.be/fXlyS-fFic8?si=MVi3_hL16MMLjWTF
53,https://youtu.be/lvjOzmhr7Zw?si=pQiYokADJoXSIebq
54,https://youtu.be/4ohRTh4ldpA?si=me_9I5Wfp93rVMdB
55,https://youtu.be/0MxDrFj9Rek?si=ZwRn4QD7ZV37Ds_D
56,https://youtu.be/r2_pEL85LGM?si=EksWYaJuemxRK0rw
57,https://youtu.be/62qK0MZbSw4?si=TFSHIrzcO8gkmQqD
58,https://youtu.be/K7q2hMxF5zg?si=6_c88lMvLeV4ddyp
59,https://youtu.be/TlwUIYzsC2Q?si=kl4V2rcjA9IrKB6f
60,https://youtu.be/YkZpAQ0AR0c?si=7Tx8GjP4o0XyFy5G
61,https://youtu.be/1BPxXl5CNgQ?si=ednwk0AYaJ2lfyZZ
62,https://youtu.be/IzsIZ4CwyXs?si=BVzQSDtfnG2MrGKZ
63,https://youtu.be/-ZaWs8ONecE?si=aYprgk6h6rb5Lt5p
64,https://youtu.be/cVhzHKfbC-c?si=ZaCs-CQMOhv-xjG7
65,https://youtu.be/pWF-C4rqdng?si=qU-AqDdyF8rm9-7T
66,https://youtu.be/cjT8bFeNF8Q?si=8eCkPcSS6mqv3t0a
67,https://youtu.be/GYCixNtgDo8?si=uxV8DqVWVIj6rg7i
68,https://youtu.be/oaoq7ApXcSo?si=Vjcp0nsgmxqVD26K
69,https://youtu.be/SHPi7Gwvbf0?si=bpSrcJqsKz4poaXv
70,https://youtube.com/shorts/IhXb1mpc4L8?si=2t5AcA1m0KIC4Lfw
71,https://youtu.be/uhYPwCfUNUg?si=20DkR0qSCl0pUAcE
72,https://youtu.be/RqYA8J8_a_Q?si=p9Df4VFlCbPB9fd2
73,https://youtu.be/Ju87LjlwB_E?si=EXa8464-EvkA90f3
74,https://youtu.be/Cy3Wthy5eXk?si=HC3YS-lozLG_9fBm
75,https://youtu.be/tSqhkN9G_yo?si=WtQhf3VWVZggLJcs
76,https://youtu.be/29E-TrUlgqI?si=IZ2yYVi8e84x5L3Z
77,https://youtu.be/esPA5B5nVH8?si=I-11CKbSPHgce9fC
78,https://youtu.be/91T206VNMpk?si=ZUJy4jh0KopCc1ej
79,https://youtu.be/Mt03AY4x3D8?si=9kpSH8kUL_PfinLJ
80,https://youtu.be/_L8pmcvQCto?si=SQwuwGP5SGJTE_q1
81,https://youtu.be/3aei5wYKHRo?si=5JBaZfHgZCYogohS
82,https://youtu.be/iQ_cgE-Rn1U?si=KnMDy-tNnGesAdLx
83,https://youtu.be/Xh6UzYV7wYk?si=fezAQtHOdQhPJyhl
84,https://youtu.be/EQ8vakCK9UM?si=JhDitbS5ApGKEmCw
85,https://youtu.be/QlPsAK_HNhw?si=8qYnld1SgoYxKl70
86,https://youtu.be/N-ub5Pp5aK8?si=SKhYbhMvjhiOBHZP
87,https://youtu.be/mwuuAE2vtOw?si=Kb3AMYzODZPqfs9k
88,https://youtu.be/MjWIAlJ4EW0?si=sDKoTimItR8BZe3e
89,https://youtu.be/F23yQ8ucFJw?si=a0n_8VCcYjs4Kx8E
90,https://youtu.be/N9VXlm5l-cA?si=YtL7PySXwRdozmfK
91,https://youtu.be/HDOHOtCx048?si=pRVCRDfDkHm4gkYM
92,https://youtu.be/JLujde2oaMU?si=jKsk35x4i-V8avIg
93,https://youtu.be/X-yecPk2qDw?si=HmKctBXc0EDRgKEl
94,https://youtu.be/EuqSgUKse7g?si=Ok5DL0SsVMe4DfP0
95,https://youtu.be/ShLeN8usfg8?si=Y5VS7mz9Zbw6voiL
96,https://youtu.be/s4qY20mK4Nw?si=HOEoL2bOB8dnisEC
97,https://youtu.be/j2TW1WJJ5aE?si=Ckev83QAcVW7UE94
98,https://youtu.be/8vrJv_al9B0?si=B2zYav6ycZie_89W
99,https://youtu.be/bdSB3lHEHZM?si=RDR62yWM5Ye_ABxR
100,https://youtu.be/x8aslqXmSE0?si=ng8kKVUY8e_tmTSI
101,https://youtu.be/iPFV8QCKr2Q?si=wbr3QEFDlyUK4D0f
102,https://youtu.be/LPGKYUcEyYE?si=tqT0_DPkT9uVz-E9
103,https://youtu.be/g5LwHQ5e-5c?si=X8-23-sTqcTNETJ_
104,https://youtu.be/6sdlhjRE2u0?si=ohLCfxcxl2ggrpwe
105,https://youtu.be/N6uIPSmeEUM?si=GiTMOB4PbOKLYrYk
106,https://youtu.be/B2GvyJp_qkM?si=kytBWxJz9gz0YlBP
107,https://youtu.be/38WAlYfF9TE?si=VeQ7lYGaQBmEWa7P
108,https://youtu.be/sh5i4M2I4u8?si=31ME9oqcMQoycaWH
109,https://youtu.be/BeJJb5JX6II?si=1WfK2bJzK0x21u1C
110,https://youtu.be/9WM_6plF2Vg?si=ZeSy0OXjqoIugHKJ
111,https://youtu.be/BLgmthGPYFM?si=cIk4p2QMbr_ejj-p
112,https://youtu.be/I8IqHX7xK4Q?si=Zetwf4uluapgyfq4
113,https://youtu.be/E1pmoPlDkoM?si=IfqxES5w-tvm8Qn0
114,https://youtu.be/xLSHCEzAKfI?si=CeC-4ZpmFuH9nZ9a
115,https://youtube.com/shorts/dQXNe8B5idg?si=aWnZ43tFNFnQwdW1
116,https://youtu.be/NfkoUti9cPE?si=FIkbNFVukWswC6Az
117,https://youtu.be/J9rebwV0xvk?si=HOs6bLdGjy_-f1Zr
118,https://youtu.be/hUxt3hcigBQ?si=Ah-KejwckNSdkttU
119,https://youtu.be/FkkT92u_a8s?si=ThGBBV4B14j52KiZ
120,https://youtu.be/09fWrTB7GOY?si=LON07xOuqCe1FL91
121,https://youtu.be/at096tb_P00?si=TTYYAjYCdxQ-p4-l
122,https://youtu.be/J-9p4Y0ZxAs?si=fNjLo3HCgDlSDSBt
123,https://youtu.be/jBoMTZIHqLc?si=V75r_ObeThvmoS2p
124,https://youtu.be/fepp7pV-QfM?si=LSDdL_3mMle7wYSq
125,https://youtu.be/AHHqzv-nx08?si=8WfcEIIcFnfqaswZ
126,https://youtu.be/lXeOP5YFNWw?si=NsOCdorh9hsWQGON
127,https://youtu.be/ytwvkH36JRQ?si=lC20Cj7pjkeJgYBR
128,https://youtu.be/Due-ZLHo2x4?si=UDnG42UTVWDBWc05
129,https://youtu.be/XcMb2FM7OJE?si=hL2pmmbB3HnzsQZt
130,https://youtu.be/29zq8NtwK7Y?si=oW4XiRjlcelRR4lJ
131,https://youtu.be/NiSky6W-EQ4?si=SwJv-3wGnUb8e8Pv
